artist_id,artist_name,track_popularity
6rgOaYJps51uMmUyzm5fi7,Nicole Cherry,32
6cpj6MeLF0pLx34Un9Bpj3,Alina Eremia,32
1ht25I3tgkphYm1HI7wMDq,Lora,34
21fmCv0mg9Xwnv3WE4mFKu,Zdob si Zdub,37
4TJMkm9ul4Xp17Altl41RW,UNKLFNKL,49
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,44
3RZcXznC82doC9NPr4nBAx,Christian Eberhard,15
35tE1qhcMaqM2BbgsaN5Ur,Marru,15
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,16
3RZcXznC82doC9NPr4nBAx,Christian Eberhard,14
2wsmSvLq3FeM5elwxYOv8F,Wudhouse,14
6UPryiMgagX8aPhZF3XMX9,Top Boy,21
2TOr71R5gmHQNH2xEcYtCu,Vanotek,21
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,26
3YyoX9RoUB8PxkXC8H0wTR,Vlad Musta,8
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,20
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,36
5LwGJiCJXcwYWJ8QkbfyFv,Mara,8
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,22
