artist_id,artist_name,track_popularity
6nyKhzPeKV9pzpYN0malXP,IDK,53
6dKPNkSEQOrRRvZz63Y47F,Oscar,53
1oiZoULxUJDYGOKMgVefP4,Morandi,44
77xr1BNiH6bg7sV7ufnFhe,Eneli,44
31s5WlyPC6fwjO56yCwors,Matteo,37
1PMRWTda28Ufeyk8rIBEnf,VUNK,35
69JOH9w7UtJrKnbUpcW2gH,Lidia Buble,35
6cpj6MeLF0pLx34Un9Bpj3,Alina Eremia,39
7Ml36YHsejaW7jVjJAhW4a,Liviu Teodorescu,3
6rgOaYJps51uMmUyzm5fi7,Nicole Cherry,40
1PMRWTda28Ufeyk8rIBEnf,VUNK,26
69JOH9w7UtJrKnbUpcW2gH,Lidia Buble,26
1YDwNmov6wNvjmtTPdbbID,byron,30
1WsXapPbIEOveVpEKjaGHu,Ioana Ignat,39
76MsrcJqjjWJ2dHcVZTseN,A.S.I.A,4
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,34
20SBqzpuFoymhieHTNHUgl,Killa Fonic,34
3HGSQ9pP9IrgvbVovEAxer,Peter Pop,12
1ht25I3tgkphYm1HI7wMDq,Lora,12
1PMRWTda28Ufeyk8rIBEnf,VUNK,31
31s5WlyPC6fwjO56yCwors,Matteo,48
1Y9row3Tp5bSKkcDSj1LJ9,Bosquito,4
7Ml36YHsejaW7jVjJAhW4a,Liviu Teodorescu,3
7qY3EcnVR7pBXBzaHi3bYo,Dorian Popa,3
1gMdi6AVn9Oi5dMOJMawk2,Laura Giurcanu,3
6FjEnxqyibwj2OM2WQg8hU,Bianca Ionescu,25
1ht25I3tgkphYm1HI7wMDq,Lora,34
4BMSu3GY2lP8sH0nmrdgGG,Grasu XXL,32
30cvvMHImCrRielEm0VnQP,Mitza,32
21fmCv0mg9Xwnv3WE4mFKu,Zdob si Zdub,41
6oOzBkBGHImHS8cdjO8AqC,Fratii Advahov,41
1Y9row3Tp5bSKkcDSj1LJ9,Bosquito,3
6rgOaYJps51uMmUyzm5fi7,Nicole Cherry,32
6cpj6MeLF0pLx34Un9Bpj3,Alina Eremia,32
1ht25I3tgkphYm1HI7wMDq,Lora,34
21fmCv0mg9Xwnv3WE4mFKu,Zdob si Zdub,37
1OQa8VMULlbmbFmDcdfBZj,Irina Rimes,37
3ZxemCGQmRuqoBPhQP5Gut,Satra B.E.N.Z.,30
2qMXn4mBsY5Ilj8gLjRPGF,Alduts Sherdley,30
1WsXapPbIEOveVpEKjaGHu,Ioana Ignat,37
2D8tuLHq2d4mctp2WTk62V,Edward Sanda,37
1S9PgNnAW3siPvSUvp9stl,The Kryptonite Sparks,8
0yjc2FN5zju7xyuJsTfGkh,Petre Stefan,32
6J1tX83VM6Yf5d2Gx79fFP,CRBL,32
1ht25I3tgkphYm1HI7wMDq,Lora,34
0D3KNqpUuvpixxHHX1cUWe,Timpuri Noi,24
72FGvJgYbs0NBeJqECy6cF,Andra,30
3nb1Shr27xrUiZoTW8J3vy,Deepcentral,34
1oiZoULxUJDYGOKMgVefP4,Morandi,43
364CkGlYfdaN7YH16EYwqo,Holograf,35
76MsrcJqjjWJ2dHcVZTseN,A.S.I.A,3
31s5WlyPC6fwjO56yCwors,Matteo,33
21fmCv0mg9Xwnv3WE4mFKu,Zdob si Zdub,31
6rgOaYJps51uMmUyzm5fi7,Nicole Cherry,35
36ddmqY1toa8sWvyYDBqFn,Damian & Brothers,34
3gvNMbcnvmnjGaG6hvJfSH,Smiley,34
5k3WNPoEUg6Z4YNC0DfVNT,Vita de Vie,32
364CkGlYfdaN7YH16EYwqo,Holograf,33
31s5WlyPC6fwjO56yCwors,Matteo,30
0kTVB7sOMbJRlHprTXc3aI,Uddi,30
6ZQhxROkDyYGsijIBDBrhF,AMI,34
1oiZoULxUJDYGOKMgVefP4,Morandi,52
2z2l9z2yioLWSoCECNIyEl,Helen,52
3C4GJHHwC4qbfRBTtK2mD9,Delyno,40
3ONx3pRxTJspIUsqkpa1ky,Krrysopher,13
2qMXn4mBsY5Ilj8gLjRPGF,Alduts Sherdley,13
4TJMkm9ul4Xp17Altl41RW,UNKLFNKL,49
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,44
3RZcXznC82doC9NPr4nBAx,Christian Eberhard,15
35tE1qhcMaqM2BbgsaN5Ur,Marru,15
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,16
3RZcXznC82doC9NPr4nBAx,Christian Eberhard,14
2wsmSvLq3FeM5elwxYOv8F,Wudhouse,14
6UPryiMgagX8aPhZF3XMX9,Top Boy,21
2TOr71R5gmHQNH2xEcYtCu,Vanotek,21
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,26
3YyoX9RoUB8PxkXC8H0wTR,Vlad Musta,8
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,20
6GdAYfQVlByh3CUmlMsswc,Francis On My Mind,36
5LwGJiCJXcwYWJ8QkbfyFv,Mara,8
0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,22
